time(s) earth_x(m) earth_y(m) earth_vx(m/s) earth_vy(m/s)
0 4.57622e+12 7.55678e+11 24860.3 3705.94
86400 4.57836e+12 7.55998e+11 24859.9 3705.87
172800 4.58051e+12 7.56318e+11 24859.5 3705.8
259200 4.58266e+12 7.56638e+11 24859.1 3705.73
345600 4.58481e+12 7.56958e+11 24858.6 3705.66
432000 4.58695e+12 7.57278e+11 24858.2 3705.6
518400 4.5891e+12 7.57599e+11 24857.8 3705.53
604800 4.59125e+12 7.57919e+11 24857.4 3705.46
691200 4.5934e+12 7.58239e+11 24857 3705.39
777600 4.59555e+12 7.58559e+11 24856.6 3705.32
864000 4.59769e+12 7.58879e+11 24856.2 3705.25
950400 4.59984e+12 7.59199e+11 24855.7 3705.18
1.0368e+06 4.60199e+12 7.59519e+11 24855.3 3705.12
1.1232e+06 4.60414e+12 7.5984e+11 24854.9 3705.05
1.2096e+06 4.60628e+12 7.6016e+11 24854.5 3704.98
1.296e+06 4.60843e+12 7.6048e+11 24854.1 3704.91
1.3824e+06 4.61058e+12 7.608e+11 24853.7 3704.84
1.4688e+06 4.61273e+12 7.6112e+11 24853.3 3704.78
1.5552e+06 4.61487e+12 7.6144e+11 24852.9 3704.71
1.6416e+06 4.61702e+12 7.6176e+11 24852.4 3704.64
1.728e+06 4.61917e+12 7.6208e+11 24852 3704.57
1.8144e+06 4.62131e+12 7.624e+11 24851.6 3704.51
1.9008e+06 4.62346e+12 7.6272e+11 24851.2 3704.44
1.9872e+06 4.62561e+12 7.6304e+11 24850.8 3704.37
2.0736e+06 4.62776e+12 7.63361e+11 24850.4 3704.3
2.16e+06 4.6299e+12 7.63681e+11 24850 3704.24
2.2464e+06 4.63205e+12 7.64001e+11 24849.6 3704.17
2.3328e+06 4.6342e+12 7.64321e+11 24849.2 3704.1
2.4192e+06 4.63634e+12 7.64641e+11 24848.8 3704.04
2.5056e+06 4.63849e+12 7.64961e+11 24848.4 3703.97
2.592e+06 4.64064e+12 7.65281e+11 24848 3703.9
2.6784e+06 4.64278e+12 7.65601e+11 24847.6 3703.83
2.7648e+06 4.64493e+12 7.65921e+11 24847.1 3703.77
2.8512e+06 4.64708e+12 7.66241e+11 24846.7 3703.7
2.9376e+06 4.64922e+12 7.66561e+11 24846.3 3703.63
3.024e+06 4.65137e+12 7.66881e+11 24845.9 3703.57
3.1104e+06 4.65352e+12 7.67201e+11 24845.5 3703.5
3.1968e+06 4.65566e+12 7.67521e+11 24845.1 3703.43
3.2832e+06 4.65781e+12 7.67841e+11 24844.7 3703.37
3.3696e+06 4.65996e+12 7.68161e+11 24844.3 3703.3
3.456e+06 4.6621e+12 7.68481e+11 24843.9 3703.24
3.5424e+06 4.66425e+12 7.68801e+11 24843.5 3703.17
3.6288e+06 4.6664e+12 7.69121e+11 24843.1 3703.1
3.7152e+06 4.66854e+12 7.69441e+11 24842.7 3703.04
3.8016e+06 4.67069e+12 7.6976e+11 24842.3 3702.97
3.888e+06 4.67284e+12 7.7008e+11 24841.9 3702.91
3.9744e+06 4.67498e+12 7.704e+11 24841.5 3702.84
4.0608e+06 4.67713e+12 7.7072e+11 24841.1 3702.77
4.1472e+06 4.67928e+12 7.7104e+11 24840.7 3702.71
4.2336e+06 4.68142e+12 7.7136e+11 24840.3 3702.64
4.32e+06 4.68357e+12 7.7168e+11 24839.9 3702.58
4.4064e+06 4.68571e+12 7.72e+11 24839.5 3702.51
4.4928e+06 4.68786e+12 7.7232e+11 24839.1 3702.45
4.5792e+06 4.69001e+12 7.7264e+11 24838.7 3702.38
4.6656e+06 4.69215e+12 7.7296e+11 24838.3 3702.31
4.752e+06 4.6943e+12 7.73279e+11 24837.9 3702.25
4.8384e+06 4.69644e+12 7.73599e+11 24837.5 3702.18
4.9248e+06 4.69859e+12 7.73919e+11 24837.1 3702.12
5.0112e+06 4.70074e+12 7.74239e+11 24836.7 3702.05
5.0976e+06 4.70288e+12 7.74559e+11 24836.3 3701.99
5.184e+06 4.70503e+12 7.74879e+11 24835.9 3701.92
5.2704e+06 4.70717e+12 7.75199e+11 24835.6 3701.86
5.3568e+06 4.70932e+12 7.75518e+11 24835.2 3701.79
5.4432e+06 4.71147e+12 7.75838e+11 24834.8 3701.73
5.5296e+06 4.71361e+12 7.76158e+11 24834.4 3701.66
5.616e+06 4.71576e+12 7.76478e+11 24834 3701.6
5.7024e+06 4.7179e+12 7.76798e+11 24833.6 3701.53
5.7888e+06 4.72005e+12 7.77118e+11 24833.2 3701.47
5.8752e+06 4.72219e+12 7.77437e+11 24832.8 3701.4
5.9616e+06 4.72434e+12 7.77757e+11 24832.4 3701.34
6.048e+06 4.72649e+12 7.78077e+11 24832 3701.28
6.1344e+06 4.72863e+12 7.78397e+11 24831.6 3701.21
6.2208e+06 4.73078e+12 7.78717e+11 24831.2 3701.15
6.3072e+06 4.73292e+12 7.79036e+11 24830.8 3701.08
6.3936e+06 4.73507e+12 7.79356e+11 24830.5 3701.02
6.48e+06 4.73721e+12 7.79676e+11 24830.1 3700.95
6.5664e+06 4.73936e+12 7.79996e+11 24829.7 3700.89
6.6528e+06 4.7415e+12 7.80315e+11 24829.3 3700.83
6.7392e+06 4.74365e+12 7.80635e+11 24828.9 3700.76
6.8256e+06 4.74579e+12 7.80955e+11 24828.5 3700.7
6.912e+06 4.74794e+12 7.81275e+11 24828.1 3700.64
6.9984e+06 4.75008e+12 7.81594e+11 24827.7 3700.57
7.0848e+06 4.75223e+12 7.81914e+11 24827.4 3700.51
7.1712e+06 4.75437e+12 7.82234e+11 24827 3700.44
7.2576e+06 4.75652e+12 7.82554e+11 24826.6 3700.38
7.344e+06 4.75866e+12 7.82873e+11 24826.2 3700.32
7.4304e+06 4.76081e+12 7.83193e+11 24825.8 3700.25
7.5168e+06 4.76295e+12 7.83513e+11 24825.4 3700.19
7.6032e+06 4.7651e+12 7.83832e+11 24825 3700.13
7.6896e+06 4.76724e+12 7.84152e+11 24824.7 3700.06
7.776e+06 4.76939e+12 7.84472e+11 24824.3 3700
7.8624e+06 4.77153e+12 7.84791e+11 24823.9 3699.94
7.9488e+06 4.77368e+12 7.85111e+11 24823.5 3699.87
8.0352e+06 4.77582e+12 7.85431e+11 24823.1 3699.81
8.1216e+06 4.77797e+12 7.8575e+11 24822.7 3699.75
8.208e+06 4.78011e+12 7.8607e+11 24822.4 3699.69
8.2944e+06 4.78226e+12 7.8639e+11 24822 3699.62
8.3808e+06 4.7844e+12 7.86709e+11 24821.6 3699.56
8.4672e+06 4.78655e+12 7.87029e+11 24821.2 3699.5
8.5536e+06 4.78869e+12 7.87349e+11 24820.8 3699.43
8.64e+06 4.79084e+12 7.87668e+11 24820.4 3699.37
8.7264e+06 4.79298e+12 7.87988e+11 24820.1 3699.31
8.8128e+06 4.79512e+12 7.88308e+11 24819.7 3699.25
8.8992e+06 4.79727e+12 7.88627e+11 24819.3 3699.18
8.9856e+06 4.79941e+12 7.88947e+11 24818.9 3699.12
9.072e+06 4.80156e+12 7.89266e+11 24818.5 3699.06
9.1584e+06 4.8037e+12 7.89586e+11 24818.2 3699
9.2448e+06 4.80585e+12 7.89906e+11 24817.8 3698.94
9.3312e+06 4.80799e+12 7.90225e+11 24817.4 3698.87
9.4176e+06 4.81013e+12 7.90545e+11 24817 3698.81
9.504e+06 4.81228e+12 7.90864e+11 24816.7 3698.75
9.5904e+06 4.81442e+12 7.91184e+11 24816.3 3698.69
9.6768e+06 4.81657e+12 7.91503e+11 24815.9 3698.63
9.7632e+06 4.81871e+12 7.91823e+11 24815.5 3698.56
9.8496e+06 4.82085e+12 7.92143e+11 24815.1 3698.5
9.936e+06 4.823e+12 7.92462e+11 24814.8 3698.44
1.00224e+07 4.82514e+12 7.92782e+11 24814.4 3698.38
1.01088e+07 4.82729e+12 7.93101e+11 24814 3698.32
1.01952e+07 4.82943e+12 7.93421e+11 24813.6 3698.26
1.02816e+07 4.83157e+12 7.9374e+11 24813.3 3698.19
1.0368e+07 4.83372e+12 7.9406e+11 24812.9 3698.13
1.04544e+07 4.83586e+12 7.94379e+11 24812.5 3698.07
1.05408e+07 4.83801e+12 7.94699e+11 24812.2 3698.01
1.06272e+07 4.84015e+12 7.95018e+11 24811.8 3697.95
1.07136e+07 4.84229e+12 7.95338e+11 24811.4 3697.89
1.08e+07 4.84444e+12 7.95657e+11 24811 3697.83
1.08864e+07 4.84658e+12 7.95977e+11 24810.7 3697.76
1.09728e+07 4.84872e+12 7.96296e+11 24810.3 3697.7
1.10592e+07 4.85087e+12 7.96616e+11 24809.9 3697.64
1.11456e+07 4.85301e+12 7.96935e+11 24809.5 3697.58
1.1232e+07 4.85516e+12 7.97255e+11 24809.2 3697.52
1.13184e+07 4.8573e+12 7.97574e+11 24808.8 3697.46
1.14048e+07 4.85944e+12 7.97894e+11 24808.4 3697.4
1.14912e+07 4.86159e+12 7.98213e+11 24808.1 3697.34
1.15776e+07 4.86373e+12 7.98533e+11 24807.7 3697.28
1.1664e+07 4.86587e+12 7.98852e+11 24807.3 3697.22
1.17504e+07 4.86802e+12 7.99171e+11 24807 3697.16
1.18368e+07 4.87016e+12 7.99491e+11 24806.6 3697.1
1.19232e+07 4.8723e+12 7.9981e+11 24806.2 3697.04
1.20096e+07 4.87445e+12 8.0013e+11 24805.9 3696.98
1.2096e+07 4.87659e+12 8.00449e+11 24805.5 3696.92
1.21824e+07 4.87873e+12 8.00769e+11 24805.1 3696.85
1.22688e+07 4.88088e+12 8.01088e+11 24804.8 3696.79
1.23552e+07 4.88302e+12 8.01407e+11 24804.4 3696.73
1.24416e+07 4.88516e+12 8.01727e+11 24804 3696.67
1.2528e+07 4.8873e+12 8.02046e+11 24803.7 3696.61
1.26144e+07 4.88945e+12 8.02366e+11 24803.3 3696.55
1.27008e+07 4.89159e+12 8.02685e+11 24802.9 3696.49
1.27872e+07 4.89373e+12 8.03004e+11 24802.6 3696.43
1.28736e+07 4.89588e+12 8.03324e+11 24802.2 3696.37
1.296e+07 4.89802e+12 8.03643e+11 24801.8 3696.32
1.30464e+07 4.90016e+12 8.03962e+11 24801.5 3696.26
1.31328e+07 4.90231e+12 8.04282e+11 24801.1 3696.2
1.32192e+07 4.90445e+12 8.04601e+11 24800.7 3696.14
1.33056e+07 4.90659e+12 8.0492e+11 24800.4 3696.08
1.3392e+07 4.90873e+12 8.0524e+11 24800 3696.02
1.34784e+07 4.91088e+12 8.05559e+11 24799.7 3695.96
1.35648e+07 4.91302e+12 8.05878e+11 24799.3 3695.9
1.36512e+07 4.91516e+12 8.06198e+11 24798.9 3695.84
1.37376e+07 4.9173e+12 8.06517e+11 24798.6 3695.78
1.3824e+07 4.91945e+12 8.06836e+11 24798.2 3695.72
1.39104e+07 4.92159e+12 8.07156e+11 24797.8 3695.66
1.39968e+07 4.92373e+12 8.07475e+11 24797.5 3695.6
1.40832e+07 4.92587e+12 8.07794e+11 24797.1 3695.54
1.41696e+07 4.92802e+12 8.08114e+11 24796.8 3695.48
1.4256e+07 4.93016e+12 8.08433e+11 24796.4 3695.43
1.43424e+07 4.9323e+12 8.08752e+11 24796 3695.37
1.44288e+07 4.93444e+12 8.09071e+11 24795.7 3695.31
1.45152e+07 4.93659e+12 8.09391e+11 24795.3 3695.25
1.46016e+07 4.93873e+12 8.0971e+11 24795 3695.19
1.4688e+07 4.94087e+12 8.10029e+11 24794.6 3695.13
1.47744e+07 4.94301e+12 8.10349e+11 24794.3 3695.07
1.48608e+07 4.94516e+12 8.10668e+11 24793.9 3695.01
1.49472e+07 4.9473e+12 8.10987e+11 24793.5 3694.96
1.50336e+07 4.94944e+12 8.11306e+11 24793.2 3694.9
1.512e+07 4.95158e+12 8.11626e+11 24792.8 3694.84
1.52064e+07 4.95372e+12 8.11945e+11 24792.5 3694.78
1.52928e+07 4.95587e+12 8.12264e+11 24792.1 3694.72
1.53792e+07 4.95801e+12 8.12583e+11 24791.8 3694.66
1.54656e+07 4.96015e+12 8.12902e+11 24791.4 3694.61
1.5552e+07 4.96229e+12 8.13222e+11 24791.1 3694.55
1.56384e+07 4.96443e+12 8.13541e+11 24790.7 3694.49
1.57248e+07 4.96658e+12 8.1386e+11 24790.3 3694.43
1.58112e+07 4.96872e+12 8.14179e+11 24790 3694.37
1.58976e+07 4.97086e+12 8.14498e+11 24789.6 3694.32
1.5984e+07 4.973e+12 8.14818e+11 24789.3 3694.26
1.60704e+07 4.97514e+12 8.15137e+11 24788.9 3694.2
1.61568e+07 4.97729e+12 8.15456e+11 24788.6 3694.14
1.62432e+07 4.97943e+12 8.15775e+11 24788.2 3694.08
1.63296e+07 4.98157e+12 8.16094e+11 24787.9 3694.03
1.6416e+07 4.98371e+12 8.16414e+11 24787.5 3693.97
1.65024e+07 4.98585e+12 8.16733e+11 24787.2 3693.91
1.65888e+07 4.98799e+12 8.17052e+11 24786.8 3693.85
1.66752e+07 4.99014e+12 8.17371e+11 24786.5 3693.8
1.67616e+07 4.99228e+12 8.1769e+11 24786.1 3693.74
